inf0,ylag0,inf1,ylag1
0.3066285001310126,0.859379199273226,0.30657282866266233,0.8703296899124919
0.30701938496630266,0.48258812261273437,0.30552005364505563,0.49677540021615724
0.30038475924067554,0.6108502809223814,0.2983292124397179,0.6237420037027416
0.302545872597695,0.6244886953189903,0.2981408617844814,0.621620278336521
0.3029593541853983,0.6248299007679299,0.30067277729801173,0.6616138438440862
0.3054473315742127,0.6045656170406232,0.3028403405742728,0.5800674821392925
0.3063251341513085,0.6665348940350726,0.30665210750372207,0.6543649849546858
0.2995821931691049,0.8710165666057286,0.2996520547399012,0.8644718632510572
0.30425265457958783,0.6337756580606975,0.30147887762266623,0.618858607286983
0.29931755762196266,0.8004756481799405,0.2976754463345753,0.7728380868574567
