inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
2.078919907,1.610668467,1.292997923,1.089756945,1.608023215,1.359438059,1.201673264,1.031782975,1.14793174,1.068800006,,1.29136135,0.305924687,0.042509048,0.053108244,0.737884162,0.464887452,0.480848887,0.01589862,0.020281996,0.03669513
2.07733859,1.290922753,0.673514751,0.691912313,2.002189736,2.040566127,1.97954618,0.580985252,0.971114093,0.595825783,,,,,,,,,,,
2.351763716,1.559331299,1.372701086,1.472243287,1.657533406,1.258781094,1.444657505,1.362293723,1.379858385,1.39357117,,,,,,,,,,,
1.521073137,0.5903411,0.352188028,0.1045874,1.708150196,1.717442033,1.531288184,0.366757006,0.423706452,0.417142443,,,,,,,,,,,
2.215711576,1.415686889,0.671668341,1.0520734,1.562464725,1.261475754,1.610704583,1.345847325,1.294814977,1.443113371,,,,,,,,,,,
2.695581089,1.993456493,1.564315664,1.592538088,2.664700975,2.403435251,2.412512268,1.518574819,1.645532933,1.607997975,,,,,,,,,,,
2.517875815,1.649635399,0.988982635,1.006090424,2.240738593,1.409094952,1.286258374,0.83587157,0.601908022,0.946621874,,,,,,,,,,,
1.368812918,0.491361162,-0.437656244,-0.751412336,0.692587757,0.573127465,0.274470642,0.014627095,0.516701627,-0.022253873,,,,,,,,,,,
2.55201713,1.004888291,0.921729147,0.922193259,1.494274203,1.341591549,1.374600526,1.153476932,1.241358498,1.213037003,,,,,,,,,,,
1.9537004,1.084724984,0.53462653,0.689151223,1.878253611,1.017265721,1.160918424,0.876495207,0.84584054,0.932363008,,,,,,,,,,,
1.656390554,0.372154349,0.395850689,0.648845616,0.97557305,0.745069693,0.966388114,0.188613392,0.244240872,0.247577033,,,,,,,,,,,
2.351345846,1.259700948,1.056862042,0.918533759,1.805924255,1.472327234,1.553709602,1.56165762,1.563392259,1.586400814,,,,,,,,,,,
2.588309461,1.450978802,1.278893398,1.246568067,2.635563075,2.561913427,2.566893049,1.295440369,1.530963001,1.302831333,,,,,,,,,,,
2.283919151,0.706025014,-0.060002488,-0.001306531,1.735623386,1.192528537,1.310539469,0.445105911,0.441515561,0.617416589,,,,,,,,,,,
1.553388552,0.887139673,0.302791993,0.342603541,0.864596167,0.496751477,0.572283369,0.500733957,0.489118238,0.378668655,,,,,,,,,,,
2.55621499,0.086727515,-0.106233715,0.05075766,2.051895307,1.40849008,1.401720376,0.315800986,0.666890101,0.409897098,,,,,,,,,,,
1.999167317,0.531936629,0.188485552,0.183838396,1.510975818,0.951330277,0.950368266,0.684175588,0.685198926,0.682424466,,,,,,,,,,,
2.019736802,1.681324901,1.291993366,1.313328403,1.862266394,1.771697156,1.766296317,1.353461515,1.090862624,1.14353437,,,,,,,,,,,
2.345730222,1.239223727,1.273773589,1.196662383,1.747496657,1.638759941,1.552165965,1.388814735,1.191490701,1.474254223,,,,,,,,,,,
2.6465304,1.94616683,1.728158992,1.650281517,2.290494112,1.911976403,1.994948824,1.539691861,1.884987521,1.53157323,,,,,,,,,,,
2.268502641,1.685297621,1.440641132,1.502905966,1.780792079,1.417319843,1.578338571,1.202641526,1.305150666,1.184456379,,,,,,,,,,,
2.252329368,0.846542565,0.766447992,0.733109083,1.928220139,1.25780766,1.303597435,0.389697027,0.517817162,0.554646187,,,,,,,,,,,
2.323426706,0.77613569,0.535505724,0.533933015,2.237985586,1.643250228,1.51631243,0.702560167,0.796350375,0.789238858,,,,,,,,,,,
2.303504771,0.782283116,-0.164405222,-0.171570729,1.394018811,0.703642578,0.685557662,0.645220244,0.706506202,0.582382001,,,,,,,,,,,
2.869870245,1.897180239,2.150447098,1.965137647,2.294438241,2.104784403,2.264107261,1.539802463,1.106068742,1.987959001,,,,,,,,,,,
1.997869714,1.899919654,2.253103058,2.180738592,1.669947845,1.853927914,1.87229746,1.497639891,1.39050583,1.595973617,,,,,,,,,,,
1.960321185,0.448613822,0.612150947,0.621842647,1.124855744,0.729276953,0.772687882,0.133347067,0.28799055,0.023291858,,,,,,,,,,,
3.022781017,1.307497389,1.353786676,1.545286988,2.409874847,2.362961814,2.624276112,2.044366638,2.285850915,2.010090911,,,,,,,,,,,
2.354580416,1.659463215,0.548468716,0.68113762,1.524020182,1.036692001,1.043781011,0.680390505,0.5534168,0.905292513,,,,,,,,,,,
2.687880823,1.724319353,1.754574552,1.606567104,1.934137621,1.881041471,1.783828681,1.609532341,1.638641913,1.542506382,,,,,,,,,,,
1.562228248,0.430833266,-0.193037046,-0.271818668,0.148721217,0.143916209,0.108259033,-0.205574698,-0.209093523,0.463984021,,,,,,,,,,,
2.884247462,2.646642789,0.860100443,0.670993987,2.400690987,1.776145333,1.855480785,1.627770207,1.943011629,1.52401369,,,,,,,,,,,
2.546671438,2.142631179,0.865504605,1.104838954,2.01337697,1.675786767,1.67444628,1.643269791,1.254677357,1.888293977,,,,,,,,,,,
2.269022414,1.293062387,0.847552715,1.087370832,1.5771399,0.75090215,1.292693353,1.654955709,1.326610515,1.306961788,,,,,,,,,,,
1.765145188,0.54536729,0.044885456,0.066708124,1.274612142,1.458341212,1.433062709,0.316285232,0.065058377,0.380176093,,,,,,,,,,,
2.015143728,1.32483182,1.081609716,1.095772309,1.202696597,1.179617537,1.228706074,1.112733894,1.030977853,1.17373211,,,,,,,,,,,
3.151031995,1.182896163,1.235311368,1.311288049,3.011903984,2.219048734,2.339555409,1.355194473,1.271879204,1.384441505,,,,,,,,,,,
1.796463371,1.676368017,-0.279647156,-0.171661401,0.987904773,0.176193765,0.318655267,0.419997863,0.253849539,0.380009247,,,,,,,,,,,
2.317530552,0.56279085,0.16492198,-0.011820943,1.092031425,0.953828843,0.698359094,0.253086109,0.227772846,0.43884306,,,,,,,,,,,
2.385816711,0.948202537,0.54811741,0.701765022,1.931652781,1.054985169,1.18208102,1.498638405,1.294063434,1.267463445,,,,,,,,,,,
2.103784311,0.738982487,0.423840149,0.434042868,0.911262995,0.805609035,0.978367962,0.842937167,0.790470172,0.882542882,,,,,,,,,,,
2.002834197,0.043782567,0.128095721,0.386051576,0.792094589,0.678773179,0.865841322,0.508224445,0.468353356,0.598121329,,,,,,,,,,,
2.403286218,1.42274013,0.718117206,0.711554585,1.767917384,1.803812651,1.846055038,1.506241371,1.441206006,1.361302582,,,,,,,,,,,
1.329826866,1.315970944,1.271084802,1.315736073,0.987408073,0.264354983,0.538534877,0.14118238,-0.007018623,0.170179371,,,,,,,,,,,
2.148047808,1.334722074,1.555597346,1.443390242,1.746636046,1.536612877,1.352269975,1.197453546,1.271980425,1.283300285,,,,,,,,,,,
2.283278515,0.742278419,-0.210202817,-0.018986313,1.70914218,1.218901599,1.319838104,0.587886057,1.308878357,0.609390152,,,,,,,,,,,
2.829311475,1.41819315,1.874158976,1.895736651,1.740625388,1.562269451,1.573817488,1.487994641,1.425204403,1.393773016,,,,,,,,,,,
