inf0,ylag0,inf1,ylag1
0.32015130519196017,0.8698227871705833,0.32238860590781215,0.8878938120064428
0.31101733229428463,0.48320520212144463,0.3196461788867876,0.5025637686236626
0.30909419115901177,0.5417439800532652,0.31259393321542434,0.5282701186773258
0.30519504796829067,0.6404810828613451,0.2679609707548733,0.6402253467635569
0.3156458201948522,0.6163887622753718,0.30716527298878155,0.6265868186196095
0.30290196813770986,0.6737758405312614,0.292047368061594,0.6355705080699281
0.3076424751845051,0.6529105750497641,0.2907547221269031,0.6665442742679948
0.30834608541605774,0.8533821811420264,0.31053488459399997,0.8234597398009788
0.3119164380527363,0.6360688230276146,0.3043412587970889,0.6512602817623292
0.3083697315315329,0.7554276401677618,0.30098682453527886,0.771674820797105
