inf0,ylag0,inf1,ylag1
0.37675438211142465,0.8632121722890558,0.4308580554802064,0.8536355001864431
0.32677397799079355,0.4761779004101812,0.472614702947079,0.4539345239437371
0.3305198762258158,0.5478634880860236,0.34439756523671156,0.5623265350136551
0.31991687909236866,0.640254846546665,0.3321335201425552,0.6239501752917321
0.398805649051701,0.6207012474709268,0.4172658648370981,0.6247775562233349
0.35660699574221566,0.6503638062481492,0.3024702356765554,0.6227777995785486
0.3653000938389507,0.6749935856963875,0.3564017185984894,0.6840006155892545
0.31858815521306716,0.8611096534386627,0.3324183855967778,0.8512627749334627
0.34612693445419745,0.6402593262628113,0.3279147885834798,0.6423737695305641
0.34771204765956665,0.7618201182338084,0.24968694206849168,0.8253150639104221
