inf0,ylag0,inf1,ylag1
0.3470134273063479,0.8771447017526461,0.3622544098703473,0.888527128385015
0.3244849435926125,0.4752613508759678,0.34770326444293376,0.48423027435352517
0.32379108869746365,0.5487152152489652,0.356741160902006,0.5295472023819017
0.30501868082945305,0.6393711194079978,0.2656513264468659,0.6142426519727742
0.3656694492108799,0.6214043586462172,0.36694876893304407,0.6240089079090058
0.32027654026094843,0.6413663978788482,0.3162675678574648,0.6167254429618751
0.3325093272623443,0.6599673598364434,0.2984560350293395,0.6585333057926439
0.3096285668450426,0.8603430380338228,0.3509197014863347,0.8541496123976065
0.31740924825341904,0.6378113312918087,0.29603260187870406,0.6431290141764836
0.3208383673250067,0.7603025551053072,0.3365512542250565,0.7675328505427188
