inf0,ylag0,inf1,ylag1
0.3393194800773501,0.8732637805417316,0.34771844632265814,0.8900965205694703
0.3138807962124815,0.4797959981199911,0.3405390283548513,0.5151266461982102
0.3212848042959957,0.5532114789614048,0.3310805035867462,0.5414271792398193
0.3054475968366349,0.6436594910975708,0.30472830886809416,0.6563160643144759
0.34806461723090115,0.6132842178760041,0.33923825744973657,0.6178512808322334
0.32060986393367147,0.6343841167849726,0.3104737810126903,0.6309791807719854
0.3109340582764939,0.6616396696143292,0.30551686900647884,0.6422485493865118
0.30978743178193097,0.8545123814378641,0.3061259239256757,0.8256264526144552
0.3159705406869605,0.6326844852811689,0.30495788385418365,0.6406952708722746
0.3076355929764827,0.7542102487214588,0.2615978623124421,0.7570521458119506
