inf0,ylag0,inf1,ylag1
0.30733161942805404,0.843602153467296,0.3100617626725293,0.8570974967964372
0.306288969238742,0.47527018120568876,0.30208932474017874,0.48049152574103826
0.30707662303133576,0.6014282441756817,0.3072091196060528,0.6038352421580743
0.3072400458571919,0.6363344989129476,0.3041147066050584,0.6091527046249872
0.3063024806886066,0.6227970947691118,0.29696666001030614,0.6122940362483091
0.3096853555956617,0.6054543059487996,0.3065118375095513,0.6331318301787051
0.31305077313779384,0.651802741904771,0.31254435440029715,0.6626004343889406
0.3084023854267029,0.8655993756200302,0.3051684327244759,0.8396551557166185
0.31041095373360394,0.6384987726057766,0.3082767321140226,0.6469718384077847
0.30326870852943083,0.7891929370616624,0.2963051289606444,0.7307980353319916
