inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs1,abs2
0.50581751,0.900937109,0.353268759,0.815083307,0.336365779,0.82401304,0.512962977,0.896305188,0.146731241,0.163634221
0.692018439,0.5610879,0.414197236,0.498950172,0.387111409,0.493040815,0.731795003,0.571451129,0.085802764,0.112888591
0.694479724,0.606600994,0.612605312,0.581453851,0.605736376,0.5742848,0.714054239,0.618067048,0.112605312,0.105736376
0.580487853,0.757601203,0.395918818,0.698434804,0.383476767,0.690294338,0.562417548,0.709732525,0.104081182,0.116523233
0.948134603,0.791106421,0.84081522,0.758204051,0.813488949,0.725732201,0.895735815,0.795177957,0.34081522,0.313488949
1.000706255,0.722666073,0.926851082,0.722300459,0.763766828,0.709698472,1.014463387,0.708928576,0.426851082,0.263766828
0.781787521,0.840507991,0.580065501,0.814782721,0.401940857,0.751168396,0.77577325,0.829752067,0.080065501,0.098059143
0.451608942,0.950487279,0.228914874,0.909514555,0.210996774,0.907736911,0.472056534,0.868876884,0.271085126,0.289003226
0.822389206,0.801603251,0.674064739,0.74321877,0.630771465,0.720683904,0.824200665,0.815753463,0.174064739,0.130771465
0.816843174,0.779126044,0.620200275,0.775750646,0.565981063,0.769043516,0.927472778,0.782629227,0.120200275,0.065981063
0.605282802,0.849644121,0.338390754,0.725954656,0.296759272,0.738124756,0.639647499,0.847899366,0.161609246,0.203240728
0.786881338,0.836164832,0.539800826,0.767373543,0.511315323,0.766699018,0.77495356,0.831422503,0.039800826,0.011315323
0.856861291,0.856553567,0.68226276,0.763900136,0.666688708,0.77770931,0.877303801,0.855047587,0.18226276,0.166688708
0.698646042,1.012102191,0.343083959,0.888250206,0.332941356,0.859950369,0.660606483,0.990845005,0.156916041,0.167058644
0.532543441,0.689807066,0.306170372,0.631116479,0.392213943,0.633035283,0.581684766,0.692256987,0.193829628,0.107786057
0.712223765,0.827695015,0.370323507,0.65080066,0.488399725,0.712227049,0.600695322,0.789307888,0.129676493,0.011600275
0.780162834,0.945161965,0.525552869,0.828376251,0.629800199,0.857521639,0.779492778,0.920408397,0.025552869,0.129800199
0.782065266,0.775837396,0.74241957,0.756273133,0.720220756,0.745394332,0.798104689,0.810145855,0.24241957,0.220220756
0.871301564,0.819108422,0.773972406,0.73194982,0.596958633,0.722577516,0.800573062,0.807950888,0.273972406,0.096958633
0.786258415,0.619330628,0.635556675,0.590934977,0.632930958,0.572078853,0.776351573,0.639006656,0.135556675,0.132930958
0.931791603,0.75065293,0.878068205,0.727415882,0.800437752,0.727044859,0.938629711,0.721252648,0.378068205,0.300437752
0.84131021,0.915088156,0.532439503,0.835734895,0.727810298,0.828388077,0.821969537,0.946130536,0.032439503,0.227810298
0.485225411,0.621828191,0.225966517,0.562263314,0.219968292,0.521191284,0.479624335,0.666957359,0.274033483,0.280031708
0.777828461,0.751575938,0.438873951,0.627061773,0.483034875,0.661151043,0.775594945,0.765512936,0.061126049,0.016965125
0.909160673,0.624327209,0.671681385,0.558383695,0.591147397,0.541434995,0.937793519,0.617905014,0.171681385,0.091147397
0.558453302,0.813476854,0.627907539,0.82950028,0.603481289,0.825008094,0.553383171,0.836716576,0.127907539,0.103481289
0.704573335,0.893733487,0.389086497,0.848665937,0.469335036,0.919883128,0.719926436,0.89882617,0.110913503,0.030664964
1.007313038,0.818496177,0.908570134,0.803122034,0.787589552,0.76505674,0.964857113,0.809565697,0.408570134,0.287589552
0.757255939,0.756738391,0.522735622,0.644736389,0.447702497,0.65195633,0.748647332,0.741391599,0.022735622,0.052297503
1.030776022,0.965056832,0.774689653,0.867389963,0.665579086,0.883856746,1.026719436,0.956986151,0.274689653,0.165579086
0.505808284,0.698990413,0.290091091,0.63263023,0.359665581,0.651876216,0.44730986,0.718382099,0.209908909,0.140334419
1.048200132,0.861783606,0.748942929,0.804486357,0.719393897,0.805504262,1.051067616,0.835087679,0.248942929,0.219393897
0.983963039,0.83592796,0.788289913,0.767704695,0.816632596,0.784907884,0.984756562,0.830031088,0.288289913,0.316632596
0.912950143,1.068889971,0.775265079,0.994494798,0.716246886,0.974125743,0.963529409,1.060761996,0.275265079,0.216246886
0.623934177,0.838485448,0.427135775,0.805083607,0.437801538,0.800912164,0.681580785,0.818662292,0.072864225,0.062198462
0.714025689,0.789110824,0.405561466,0.720934178,0.506406441,0.738345726,0.737348251,0.782597272,0.094438534,0.006406441
1.139232329,0.755385779,0.778874852,0.672130858,0.898104473,0.710744054,1.197398247,0.742772259,0.278874852,0.398104473
0.569604309,0.69666105,0.342674748,0.624211727,0.52625336,0.661025405,0.544001481,0.701550165,0.157325252,0.02625336
0.927950028,0.762342628,0.516506153,0.643357852,0.605017636,0.655297822,0.954589429,0.776943029,0.016506153,0.105017636
0.79273423,0.758713466,0.594908685,0.710183455,0.669853026,0.724879149,0.781555342,0.794393155,0.094908685,0.169853026
0.887344891,0.822897707,0.637058366,0.714866158,0.557883147,0.67737693,0.907248814,0.821159168,0.137058366,0.057883147
0.666425581,0.77104548,0.179482395,0.642745627,0.326565646,0.67701591,0.726649199,0.761226725,0.320517605,0.173434354
0.711813917,0.7032213,0.466797474,0.641953861,0.57521335,0.671581749,0.714184261,0.674109027,0.033202526,0.07521335
0.546603978,0.917108227,0.298096153,0.811834846,0.340698041,0.824997548,0.562342544,0.921074253,0.201903847,0.159301959
0.943943249,0.838628161,0.856094269,0.800335235,0.816585093,0.797446159,0.942204134,0.849299967,0.356094269,0.316585093
0.745565924,1.02121089,0.399729619,0.940781274,0.463696145,0.957086056,0.779118595,0.985046154,0.100270381,0.036303855
0.857102721,0.943051936,0.50619228,0.716325506,0.469611657,0.674228694,0.842392726,0.92505275,0.00619228,0.030388343
0.675369937,0.948175483,0.323094921,0.863273997,0.352562868,0.88221071,0.692933943,0.94687291,0.176905079,0.147437132
0.608295159,0.84780816,0.627389918,0.830068023,0.475193007,0.737705753,0.638426373,0.837044601,0.127389918,0.024806993
0.5623581,0.741530379,0.335131644,0.682830615,0.485567006,0.682574053,0.5291601,0.752229449,0.164868356,0.014432994
0.751579418,0.927556139,0.606250299,0.882940476,0.565136931,0.883664007,0.73352124,0.921252884,0.106250299,0.065136931
0.651542021,0.834956942,0.449845888,0.782300285,0.466797601,0.773577075,0.605390086,0.802346928,0.050154112,0.033202399
1.023612382,0.821536792,0.941481353,0.808840048,0.986217678,0.803773064,1.077281859,0.834825338,0.441481353,0.486217678
0.730682343,0.763443453,0.697177978,0.727372435,0.573311749,0.707078064,0.736518846,0.783037395,0.197177978,0.073311749
0.698500899,0.760942479,0.584673764,0.717397568,0.630557217,0.736915578,0.69349539,0.766951684,0.084673764,0.130557217
0.730126224,0.730714502,0.625699264,0.688053195,0.578407165,0.701253152,0.750307537,0.735418646,0.125699264,0.078407165
0.875351103,0.909361347,0.830576815,0.886115568,0.743929408,0.863188949,0.865368252,0.925471025,0.330576815,0.243929408
1.036607324,0.858423419,0.877461983,0.812041526,0.863089647,0.803744306,1.014961813,0.875536234,0.377461983,0.363089647
0.965533511,0.868518295,0.749351181,0.814406975,0.850540959,0.824094988,1.031631043,0.915424858,0.249351181,0.350540959
0.843616166,0.719047913,0.366410405,0.505835947,0.344039938,0.510664084,0.865459146,0.699683515,0.133589595,0.155960062
1.01066314,0.984042433,0.888527121,0.92849558,0.827074094,0.898424612,1.004752477,0.977097474,0.388527121,0.327074094
0.700387815,0.896001392,0.431745065,0.819464183,0.48785787,0.819036863,0.751147111,0.882592785,0.068254935,0.01214213
1.012881184,0.881530547,1.058878018,0.89529012,0.949425226,0.882321005,0.979468688,0.870731538,0.558878018,0.449425226
0.739422195,0.877402524,0.642046419,0.78851656,0.681848157,0.834000066,0.72524237,0.871294268,0.142046419,0.181848157
0.802049768,0.762713242,0.544424861,0.740787508,0.357960957,0.680183062,0.806964373,0.746872314,0.044424861,0.142039043
0.753434553,0.921293983,0.367611831,0.806677943,0.281606093,0.742710357,0.762750755,0.953623139,0.132388169,0.218393907
0.722150586,0.87818555,0.404281471,0.771242701,0.491745956,0.768002838,0.703419241,0.873548652,0.095718529,0.008254044
0.978879624,0.783666596,0.865877431,0.721922948,0.90496383,0.757973352,0.971437684,0.799810482,0.365877431,0.40496383
1.169486222,0.65379615,0.82942796,0.613545362,0.759808741,0.589731194,1.09745089,0.68931032,0.32942796,0.259808741
1.25128813,0.695940573,0.885475928,0.570921141,0.775697927,0.61039803,1.25517108,0.682910199,0.385475928,0.275697927
0.751793466,0.896708696,0.490056704,0.842116732,0.587562207,0.877196843,0.778175947,0.898663199,0.009943296,0.087562207
0.765617562,0.870534476,0.562142595,0.804502028,0.480915374,0.805845881,0.799922441,0.865700886,0.062142595,0.019084626
0.690967058,1.003438357,0.712003812,1.001645314,0.687575236,0.983930681,0.659432908,1.009318542,0.212003812,0.187575236
0.514508252,0.845378126,0.399818021,0.818655531,0.334300329,0.805946975,0.509967658,0.829303796,0.100181979,0.165699671
0.855099075,0.747412764,0.6747211,0.694673252,0.64110124,0.691494532,0.826930662,0.736287975,0.1747211,0.14110124
0.851849662,0.901774963,0.622149059,0.831310032,0.508248602,0.812936889,0.84804354,0.895299459,0.122149059,0.008248602
0.767624152,0.878878007,0.122902896,0.715684903,0.135449862,0.736253384,0.727709953,0.879273495,0.377097104,0.364550138
0.91057737,0.851140128,0.636340542,0.781242652,0.616404662,0.732503817,0.886801322,0.829202602,0.136340542,0.116404662
0.812316494,0.795911352,0.621277902,0.670940756,0.57899218,0.680764502,0.782025813,0.785031662,0.121277902,0.07899218
0.76955794,0.817432698,0.653285851,0.723277075,0.630646766,0.738265991,0.776189602,0.798530316,0.153285851,0.130646766
0.454641071,0.846548253,0.251027815,0.773975158,0.270517653,0.803280101,0.469889539,0.84637839,0.248972185,0.229482347
0.691462819,0.779712695,0.54963945,0.722077359,0.416748861,0.682220619,0.693924404,0.765308227,0.04963945,0.083251139
1.055453223,0.740522641,0.619806894,0.600891596,0.60341158,0.57967586,1.027828471,0.732859182,0.119806894,0.10341158
0.866100797,0.715441772,0.664093312,0.707560933,0.689137746,0.664748582,0.891534437,0.711779412,0.164093312,0.189137746
0.897131786,0.773110593,0.667842127,0.690929178,0.693892794,0.705985747,0.91755768,0.757452133,0.167842127,0.193892794
1.115867131,0.814708604,0.906591753,0.747866476,0.723201852,0.73350348,1.089753218,0.813077204,0.406591753,0.223201852
0.645706588,0.827711789,0.032279463,0.710242366,0.005303099,0.709136227,0.683865238,0.824727484,0.467720537,0.494696901
0.843852145,0.835141209,0.677278839,0.798664215,0.646686427,0.80670897,0.862467527,0.813236593,0.177278839,0.146686427
0.901546326,0.807760684,0.488901446,0.72735614,0.436079581,0.695612259,0.982458703,0.775455236,0.011098554,0.063920419
0.761785631,0.77712654,0.726538328,0.729406058,0.743387848,0.749359997,0.782643482,0.77397596,0.226538328,0.243387848
0.990826583,0.612405739,0.641975428,0.53370232,0.574184769,0.536124042,0.957643015,0.61263922,0.141975428,0.074184769
0.7388122,0.860929476,0.623975333,0.859086854,0.707486807,0.878446191,0.732085952,0.868298608,0.123975333,0.207486807
0.80328158,0.821023799,0.471041487,0.740669046,0.612628869,0.773778608,0.834883864,0.779779087,0.028958513,0.112628869
0.616373724,0.728576019,0.465506575,0.696367238,0.384470816,0.665791842,0.604143565,0.727442168,0.034493425,0.115529184
0.685410762,0.893341705,0.431656509,0.856559731,0.520531174,0.866099158,0.679811232,0.894804373,0.068343491,0.020531174
0.997240446,0.794079003,0.836269973,0.718751405,0.707479326,0.719428403,1.023556582,0.760414189,0.336269973,0.207479326
1.094869933,0.953998738,0.955945793,0.90531959,0.944461621,0.896935886,1.102910767,0.933972369,0.455945793,0.444461621
0.847733673,0.777186783,0.592813087,0.649866532,0.470619475,0.634592334,0.849155939,0.746071696,0.092813087,0.029380525
1.019317109,0.838486916,0.865297128,0.793578653,0.865249533,0.800824172,1.011288727,0.832207619,0.365297128,0.365249533
0.950893645,0.784931907,0.538989134,0.726113254,0.554238297,0.668034835,1.033646808,0.810720416,0.038989134,0.054238297
